Index,Product Company Name: ,Product Name: ,Product MRP: ,Product Price: ,Dicount Information,Product Details ,Product Code,Seller Information,Source of Product
10,"""Superdry""","""Men Navy Blue Solid Polo T-shirt""",Rs. 2990,Rs. 2990,0,"""{'Product Details ': '""Navy blue solid T-shirt, has a polo collar, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Cotton  Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",2087921,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::Reliance Brands Limited, 8th Floor, Maker Tower E, Cuffe Parade, Mumbai - 400 005-----Country of origin::IN-----"""
11,"""FIDO DIDO""","""Men Mustard Printed Polo Collar T-shirt""",Rs. 1299,Rs. 519,(60% OFF),"""{'Product Details ': '""Mustard printed T-shirt, has a polo collar, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Cotton  Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Printed,Pattern Coverage:Placement,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",2476463,Sold by: R.R.LIFESTYLES  R.R.LIFESTYLES ,"""Manufacturer/Packer/Importer Details::R R Lifestyles,#74/24, 1st Floor, 5th Cross, 5th Block, Rajajainagar, S.S.I Area, Banaglore-560010-----Country of origin::USA-----"""
12,"""Difference of Opinion""","""Men Mustard-Coloured & Navy Blue Colourblocked Round Neck T-shirt""",Rs. 1099,Rs. 1099,0,"""{'Product Details ': '""Mustard-coloured and navy blue colourblocked T-shirt, has a round neck, long sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""CottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Colourblocked,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Colourblocked,Pattern Coverage:Placement,Print or Pattern Type:Colourblocked,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",7337421,Sold by: RetailNet  RetailNet ,"""Manufacturer/Packer/Importer Details::Elcinco Inc - #17,Amarjothi Sathyamoorthy Nagar, 1st Street, Kangeyam Road, Tirupur. Ph- 98949 48947-----Country of origin::India-----"""
13,"""WROGN ACTIVE""","""Men Grey Printed Round Neck T-shirt """,Rs. 999,Rs. 649,(35% OFF),"""{'Product Details ': '""Grey\xa0Printed T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% PolyesterMachine Wash""', 'Specifications': '""""Fabric:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Raglan Sleeves,Sport:Training or Gym,Wash Care:Machine Wash,""""'}""",11551900,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,NO. 500, 1st FLOOR, CMH ROAD, BINNAMANGALA, 2nd STAGE, INDIRANAGAR,,BANGALORE,KARNATAKA,560038-----Country of origin::India-----"""
14,"""Kook N Keech Marvel""","""Men Black Marvel Printed Round Neck T-shirt""",Rs. 599,Rs. 479,(20% OFF),"""{'Product Details ': '""Black printed T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% CottonMachine-wash""', 'Specifications': '""""Character:Avengers,Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Superhero,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",8972451,Sold by: Indiflashmart  Indiflashmart ,"""Manufacturer/Packer/Importer Details::RADHA GOVINDA TEXTILE,NETAJI SUBHASH NAGAR SOUTH P.O- GHOLA SODEPUR, KOLKATA - 700111,NETAJI SUBHASH NAGAR SOUTH P.O- GHOLA SODEPUR, KOLKATA - 700111,NORTH24PARGANAS,WEST BENGAL,700111-----Country of origin::INDIA-----"""
15,"""UNDER ARMOUR""","""Charcoal Grey Pinstriped Threadborne Match Jersey""",Rs. 2999,Rs. 2999,0,"""{'Product Details ': '""Special technologiesUA Microthread technology in the fabric dries faster, won\'t cling to you, won\'t chafe and stretches without absorbing sweatHeatGear(r) fabric is ultra-soft & smooth for extreme comfort with very little weightStretch-mesh back panel delivers strategic ventilation4-way stretch construction moves better in every directionMaterial wicks sweat & dries really fastAnti-odor technology prevents the growth of odor causing microbesProduct design detailsCharcoal grey pinstriped jerseyhas V-neck\xa0short sleevesNext-to-skin without the squeeze""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% polyesterMachine-wash""', 'Specifications': '""""Fabric:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:V-Neck,Occasion:Sports,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Technology:Anti Odour,Wash Care:Machine Wash,""""'}""",7605746,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::Gimmill Pte Ltd Wuzhong Economic Development Zone Suzhou-215124-----Country of origin::China-----"""
16,"""HERE&NOW""","""Men White & Blue Striped Round Neck T-shirt""",Rs. 999,Rs. 599,(40% OFF),"""{'Product Details ': '""White and Blue striped T-shirt, has a round neck, and long sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% CottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10969580,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::SHRI GANAPATHI SOURSES, 115/2 Behind SSK Knit Printers, Palladam Road, Mangalam,Tripur,TIRUPPUR,TAMILNADU,641663-----Country of origin::INDIA-----"""
17,"""Roadster""","""Grey Flock Print T-shirt with Suede Shoulder Patch""",Rs. 799,Rs. 479,(40% OFF),"""{'Product Details ': '""Grey T-shirt with a tinge of blue and melange effect, has a round neck, patches along the shoulders, long sleeves and brand flock print on the front""', 'Size & Fit': '""The model (height 6\' and shoulders 18"") is wearing a size M""', 'Material & Care': '""Cotton blendMachine-wash cold""', 'Complete The Look': '""Maintain a laid-back look any time of the year with this top-of-the-line Roadster T-shirt. Wear your piece with jeans and leather boots for a trendy club look.""'}""",1301358,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::YES ENTERPRISES,2996/97,back side P.N.B Sunder Nagar,LUDHIANA,PUNJAB,141008-----Country of origin::INDIA-----"""
18,"""Superdry""","""Men Navy Blue Printed Round Neck Sportwear Speed T-shirt""",Rs. 2999,Rs. 2999,0,"""{'Product Details ': '""Product Design Details:Navy Blue and White printed\xa0T-shirthas a round neckshort sleevesSpecial Technologies:\xa0Core SportTech:Moisture wickingStretch technology""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""55% cotton and 45% polyesterMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Applique,Wash Care:Machine Wash,""""'}""",10737672,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::Imported and Marketed By : Reliance Brands Limited, 8th Floor, Maker Tower E, Cuffe Parade, Mumbai - 400 005-----Country of origin::Turkey-----"""
19,"""Moda Rapido""","""Men White & Black Colourblocked Round Neck T-shirt""",Rs. 599,Rs. 389,(35% OFF),"""{'Product Details ': '""White and Black colourblocked T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Colourblocked,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Colourblocked,Print or Pattern Type:Colourblocked,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11269092,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::RGT Fashions ,NETAJI SUBHASH NAGAR SOUTH P.O- GHOLA SODEPUR,KOLKATA - 700111,NETAJI SUBHASH NAGAR SOUTH P.OGHOLASODEPUR, KOLKATA -700111-----Country of origin::INDIA-----"""
20,"""Puma""","""Men Blue ftblPLAY Graphic Printed Round Neck T-shirt""",Rs. 1799,Rs. 1529,(15% OFF),"""{'Product Details ': '""Special Technologies:DRYCELLMoisture managementProduct Details:Blue printed T-shirt,has a round neck,short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% polyesterMachine Wash""', 'Specifications': '""""Fabric:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:Graphic Print Others,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Printed,Print or Pattern Type:Graphic,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11448320,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::Shanta Denims Limitied, Plot 156 & 177, DEPZ (Extension), Ganakbari, Savar, 1349 Dhaka, Bangladesh-----Country of origin::Bangladesh-----"""
21,"""WROGN ACTIVE""","""Men Black Printed Round Neck T-shirt""",Rs. 799,Rs. 519,(35% OFF),"""{'Product Details ': '""Black printed T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: Polyester Machine Wash""', 'Specifications': '""""Fabric:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11551902,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,NO. 500, 1st FLOOR, CMH ROAD, BINNAMANGALA, 2nd STAGE, INDIRANAGAR,,BANGALORE,KARNATAKA,560038-----Country of origin::India-----"""
22,"""Superdry""","""Men Black Solid CITY SPORT ZIP POLO Polo Collar T-shirt""",Rs. 4599,Rs. 4599,0,"""{'Product Details ': '""Product Design Detail : Black solid T-shirtHas a polo collarShort sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Applique,Wash Care:Machine Wash,""""'}""",9375943,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::Imported and Marketed By : Reliance Brands Limited, 8th Floor, Maker Tower E, Cuffe Parade, Mumbai - 400 005-----Country of origin::TURKEY-----"""
23,"""H&M""","""Men Grey Melange Solid Cotton T-shirt Regular Fit""",Rs. 399,Rs. 399,0,"""{'Product Details ': '""T-shirt in soft cotton jersey. Regular Fit.""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""99% Cotton, 1% Viscose       Machine Wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Viscose Rayon,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11468728,Sold by: H & M Hennes & Mauritz Retail Private Limited  H & M Hennes & Mauritz Retail Private Limited ,"""Manufacturer/Packer/Importer Details::Imported By : H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India-----Country of origin::Bangladesh-----"""
24,"""H&M""","""Men White Solid V-Neck T-shirt Regular Fit""",Rs. 399,Rs. 399,0,"""{'Product Details ': '""V-neck T-shirt in soft cotton jersey. Regular Fit.""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% CottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:V-Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11468720,Sold by: H & M Hennes & Mauritz Retail Private Limited  H & M Hennes & Mauritz Retail Private Limited ,"""Manufacturer/Packer/Importer Details::Imported By : H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India-----Country of origin::Bangladesh-----"""
25,"""Roadster""","""Men White Brush Printed Round Neck T-shirt""",Rs. 699,Rs. 349,(50% OFF),"""{'Product Details ': '""White printed T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Cotton  Machine-wash""', 'Complete The Look': '""This top-notch T-shirt from Roadster will have you looking fresh all year long.  This white piece is incredibly versatile and can be matched with dark or light denim for an evening out with the guys.""'}""",1824369,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::MACFIT FASHIONSNO-1,5/6 , SINGARAVELAN NAGAR,1ST STREET,SAKTHI THEATRE ROAD ,CHETTIPALAYAM,TIRUPUR,TAMILNADU,641603-----Country of origin::India-----"""
26,"""Levis""","""Men Red & White Striped Polo Collar T-shirt""",Rs. 2199,Rs. 2199,0,"""{'Product Details ': '""Red and White striped T-shirt, has a polo collar, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% CottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11166018,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::SRI LAKSHMI CLOTHINGS,330/1, SRI GOKULA KRISHNA NAGAR, TIRUPPUR TIRUPPUR 641605-----Country of origin::INDIA-----"""
27,"""Wrangler""","""Men Mustard Yellow Printed Round Neck T-shirt""",Rs. 995,Rs. 995,0,"""{'Product Details ': '""Mustard yellow printed T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% CottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Tropical,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Print or Pattern Type:Graphic,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11237370,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::Viyellatex Limited,297 Khairtul, Tongi, Gazipur-1712, Bangladesh.-----Country of origin::Bangladesh-----"""
28,"""HRX by Hrithik Roshan""","""Men Navy Advanced Rapid Dry Raglan Polo T-shirt""",Rs. 1199,Rs. 779,(35% OFF),"""{'Product Details ': '""The HRX Men\'s Advanced Rapid dry polo Tshirt made with sweat-wicking fabric to help keep you dry and comfortable throughout your sport.Features & BenefitsTextured waffle knit fabric \xa0allows for quick sweat distribution and helps you stay coolAdvanced Rapid Dry Technology processed at the yarn level wicks sweat & dries fast.N9 Anti-odor technology prevents the growth of odour-causing microbes keeping you fresh & hygienic all dayThe regular fit is an ergonomic fit which allows for comfort and movement.Raglan sleeves enhance upper shoulder & smooth arm movementsReflective logos for greater visibility in low-light \xa0& safety""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% polyesterMachine-wash""', 'Specifications': '""""Fabric:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:Micro or Ditsy Print,Multipack Set:Single,Neck:Polo Collar,Occasion:Sports,Pattern:Self Design,Pattern Coverage:All-Over,Print or Pattern Type:Self Design,Sleeve Length:Short Sleeves,Sleeve Styling:Raglan Sleeves,Wash Care:Machine Wash,""""'}""",2314375,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::SHIV SUNDARAM,SHIV SUNDARAM,2ND FLOOR, 1490/50,GHALEYWAL IND AREA, NEAR EKTA COLONY, RAHON ROAD,LUDHIANA,PUNJAB,141007-----Country of origin::INDIA-----"""
29,"""HERE&NOW""","""Men Teal Blue Solid Polo Collar T-shirt""",Rs. 999,Rs. 699,(30% OFF),"""{'Product Details ': '""Teal blue solid T-shirt, has a polo collar, short sleeves, one pocket""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Number of Pockets:1,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",7546902,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::SHRI GANAPATHI SOURSES,115/2 Behind SSK Knit Printers, Palladam Road, Mangalam, Tripur,TIRUPPUR,TAMILNADU,641663-----Country of origin::INDIA-----"""
30,"""Puma""","""Men Grey Printed RTG Evoknit DryCell Slim Fit Round Neck T-shirt""",Rs. 2499,Rs. 2124,(15% OFF),"""{'Product Details ': '""Special Technology :DryCell - Moisture ManagementEvoknitProduct Design Detail:Grey printed T-shirthas a round neckshort sleeves""', 'Size & Fit': '""Slim Fit\xa0The model (height 6\') is wearing a size M""', 'Material & Care': '""72% polyester, 28% nylonMachine-wash""', 'Specifications': '""""Fabric:Polyester,Fabric 2:Nylon,Fit:Slim Fit,Length:Regular,Main Trend:Graphic Print Others,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Print or Pattern Type:Graphic,Sleeve Length:Short Sleeves,Sleeve Styling:Raglan Sleeves,Technology:dryCELL,Wash Care:Machine Wash,""""'}""",11447960,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::Fakhruddin Textile Mills Ltd, Mouza, Kewa, Sreepur, Gazipur-1740, Postal code-1740, Bangladesh. Tel: +880-02-9289539-----Country of origin::Bangladesh-----"""
31,"""WROGN""","""Men Teal Blue Printed Round Neck T-shirt""",Rs. 999,Rs. 699,(30% OFF),"""{'Product Details ': '""Teal blue printed  T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Cotton  Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Graphic Print Others,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Full-Front,Print or Pattern Type:Graphic,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",2033074,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,Universal Sports Biz Pvt. Ltd.Next SCM solutions Pvt. Ltd.,#88/3, Seggehalli village, Kadugodi,BANGALORE,KARNATAKA,560067-----Country of origin::INDIA-----"""
32,"""Superdry""","""Men Navy Blue & White Printed MALIBU Round Neck T-Shirt""",Rs. 2999,Rs. 2999,0,"""{'Product Details ': '""Product Design Details:Navy Blue and White printed T-ShirtHas a\xa0round neckShort sleevesBranding on the front""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""67% cotton and 33% polyesterMachine-Wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",9375687,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::Imported and Marketed By : Reliance Brands Limited, 8th Floor, Maker Tower E, Cuffe Parade, Mumbai - 400 005-----Country of origin::TURKEY-----"""
33,"""HRX by Hrithik Roshan""","""Men Black Advanced Rapid Dry Raglan Polo Collar T-shirt""",Rs. 1199,Rs. 839,(30% OFF),"""{'Product Details ': '""With the HRX Men\'s Active T-shirt, you\'re in for a style treat. This t-shirt is cut to fit you perfectly and crafted from fabric that will keep you cool and dry throughout the day.FeaturesTextured waffle knit fabric  allows for quick sweat distribution and helps you stay coolAdvanced Rapid Dry Technology processed at the yarn level wicks sweat & dries fastN9 Anti-odor technology prevents the growth of odour-causing microbes keeping you fresh & hygienic all dayActive T-shirt for your daily workoutsAnti-Microbial technology keeps odor-causing microbes awayTextured waffle knit fabric  allows for quick sweat distribution and helps you stay coolRaglan sleeves help in unrestricted arm & shoulder movementStyle: Collared Polo NeckSleeve: Short SleevesColour: BlackPrint: Self DesignFit: Regular""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% polyesterMachine-wash""', 'Specifications': '""""Fabric:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Sports,Pattern:Self Design,Pattern Coverage:All-Over,Print or Pattern Type:Self Design,Sleeve Length:Short Sleeves,Sleeve Styling:Raglan Sleeves,Technology:Rapid Dry,Wash Care:Machine Wash,""""'}""",2314374,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::SHIV SUNDARAM,SHIV SUNDARAM,2ND FLOOR, 1490/50,GHALEYWAL IND AREA, NEAR EKTA COLONY, RAHON ROAD,LUDHIANA,PUNJAB,141007-----Country of origin::INDIA-----"""
34,"""Difference of Opinion""","""Men Grey Melange Striped Round Neck T-shirt""",Rs. 999,Rs. 999,0,"""{'Product Details ': '""Grey melange striped waist length T-shirt, has a round neck, long sleeves""', 'Size & Fit': '""The model (height 6\' and shoulders 18"") is wearing a size XXL""', 'Material & Care': '""Cotton Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",1669864,Sold by: RetailNet  RetailNet ,"""Manufacturer/Packer/Importer Details::ELCINCO INC, No 17 Amarjothi, Sathyamoorthy nagar, 1 st street, Kangeyam Road, Tirupur-----Country of origin::India-----"""
35,"""Superdry""","""Men White Colourblocked NU LAD CUT Round Neck T-shirt""",Rs. 2999,Rs. 2999,0,"""{'Product Details ': '""Product Design Detail : White and Navy Blue colourblocked T-shirtHas a round neckShort sleevesEmbroidered logo on chest""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Colourblocked,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Colourblocked,Pattern Coverage:Placement,Print or Pattern Type:Colourblocked,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Embroidered,Wash Care:Machine Wash,""""'}""",9375853,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::Imported and Marketed By : Reliance Brands Limited, 8th Floor, Maker Tower E, Cuffe Parade, Mumbai - 400 005-----Country of origin::TURKEY-----"""
36,"""DILLINGER""","""Men Mustard Yellow Solid Round Neck T-shirt""",Rs. 1199,Rs. 1199,0,"""{'Product Details ': '""Mustard yellow solid T-shirt, has a round neck, and long sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11068030,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::Elcinco Inc - #17,Amarjothi Sathyamoorthy Nagar, 1st Street, Kangeyam Road, Tirupur. Pin - 641604. Ph- 98949 48947-----Country of origin::India-----"""
37,"""Difference of Opinion""","""Navy Printed T-shirt""",Rs. 899,Rs. 899,0,"""{'Product Details ': '""Navy blue printed waist length T-shirt, has a round neck, long sleeves""', 'Size & Fit': '""The model (height 6\' and shoulders 18"") is wearing a size XXL""', 'Material & Care': '""Cotton \nMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Biker,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",1678080,Sold by: RetailNet  RetailNet ,"""Manufacturer/Packer/Importer Details::ELCINCO INC, No 17 Amarjothi, Sathyamoorthy nagar, 1 st street, Kangeyam Road, Tirupur-----Country of origin::India-----"""
38,"""WROGN""","""Men Grey Melange Self Design Round Neck T-shirt""",Rs. 1299,Rs. 1299,0,"""{'Product Details ': '""Grey melange self-design T-shirt, has a round neck, long sleeves, 1 pocket""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""50% cotton, 50% polyester  Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Number of Pockets:1,Occasion:Casual,Pattern:Self Design,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Pockets,Wash Care:Machine Wash,""""'}""",1894413,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,Universal Sports Biz Pvt. Ltd.Next SCM solutions Pvt. Ltd.,#88/3, Seggehalli village, Kadugodi,BANGALORE,KARNATAKA,560067-----Country of origin::INDIA-----"""
